"","Nombre","Link"
"1","Aeropuerto Internacional de Tocumen","http://www.tocumenpanama.aero"
"2","Agencia Panamá Pacífico","http://www.app.gob.pa/"
"3","Archivo Nacional de Panamá","http://www.registro-publico.gob.pa/nacional/"
"4","Asamblea Nacional","http://www.asamblea.gob.pa/"
"5","Autoridad de Aeronáutica Civil","http://www.aeronautica.gob.pa/"
"6","Autoridad de Aseo Urbano y Domiciliario","http://www.aaud.gob.pa/"
"7","Autoridad de la Micro, Pequeña y Mediana Empresa","http://www.ampyme.gob.pa/"
"8","Autoridad de los Recursos Acuáticos de Panamá","http://www.arap.gob.pa/"
"9","Autoridad de Pasaportes de Panamá","http://www.apap.gob.pa"
"10","Autoridad de Protección al Consumidor y Defensa de la Competencia","http://www.acodeco.gob.pa/"
"11","Autoridad de Turismo de Panamá","http://www.atp.gob.pa/"
"12","Autoridad del Canal de Panamá","http://www.pancanal.com/"
"13","Autoridad del Tránsito y Transporte Terrestre","http://www.transito.gob.pa/"
"14","Autoridad Marítima de Panamá","http://www.amp.gob.pa/"
"15","Autoridad Nacional de Administración de Tierras","http://www.anati.gob.pa"
"16","Consejo Nacional de Acreditación de Panamá","http://www.cna.gob.pa"
"17","Consejo Nacional para el Desarrollo Sostenible","http://www.conades.gob.pa/"
"18","Contraloría General de la República","http://www.contraloria.gob.pa/"
"19","Corregidura de Pedregal",""
"20","Corregiduría de 24 de Diciembre",""
"21","Corregiduría de Alcalde Díaz",""
"22","Corregiduría de Ancón",""
"23","Corregiduría de Bella Vista",""
"24","Corregiduría de Bethania",""
"25","Corregiduría de Calidonia",""
"26","Corregiduría de Chilbre","Lunes a Viernes de 7:00 a.m a 3:30 pm"
"27","Corregiduría de Curundú",""
"28","Corregiduría de Juan Díaz",""
"29","Corregiduría de Pacora",""
"30","Corregiduría de Parque Lefevre",""
"31","Corregiduría de Pueblo Nuevo",""
"32","Corregiduría de Río Abajo",""
"33","Corregiduría de San Felipe",""
"34","Corregiduría de San Francisco",""
"35","Corregiduría de San Martín",""
"36","Corregiduría de Santa Ana",""
"37","Corregiduría de Tocumen",""
"38","Correos y Telégrafos Nacionales de Panamá","http://www.correospanama.gob.pa/"
"39","Defensoría del Pueblo de la República de Panamá","http://www.defensoriadelpueblo.gob.pa/"
"40","Dirección de Investigación Judicial",""
"41","Dirección General de Contrataciones Públicas","http://www.dgcp.gob.pa/"
"42","Dirección General de Ingresos","https://dgi.mef.gob.pa"
"43","Empresa de Transmisión Eléctrica","http://www.etesa.com.pa/"
"44","Fiscalía General de Cuentas","http://www.fiscaliadecuentas.gob.pa/"
"45","Gobernación de la Provincia de Panamá","http://www.gobiernoyjusticia.gob.pa/GOBPMA/index.htm"
"46","Hospital del Niño","http://www.hn.sld.pa/"
"47","Hospital San Miguel Arcángel","http://www.minsa.gob.pa/contenido/hospital-san-miguel-arcangel"
"48","Hospital Santo Tomás",""
"49","Impulso Panamá","http://www.impulsopanama.gob.pa/"
